"Hostname","CheckMK ID","Reachable","Uptime Days","Uptime Hours","Reboot Pending","WSUS Update script","Reboot Script","WSUS Update Task","WSUS Reboot Task","Powershell version"
"OFB04TRMSE2-1.mmsrg.net","DE-S353-OFB04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"GTL04TRMMM1-1.mmsrg.net","DE-M166-GTL04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"WED04TRMMM1-1.mmsrg.net","DE-M180-WED04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"AUG04TRMSE2-1.mmsrg.net","DE-S075-AUG04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ROS04TRMMM1-1.mmsrg.net","DE-M058-ROS04TRMMM1-1","True","1","20","False","Missing","Missing",,,"5"
"HDE04TRMMM1-1.mmsrg.net","DE-M152-HDE04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DRE04TRMSE2-1.mmsrg.net","DE-S060-DRE04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DUS04TRMSE2-1.mmsrg.net","DE-S213-DUS04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"COT04TRMMM1-1.mmsrg.net","DE-M133-COT04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"WUP04TRMMM1-1.mmsrg.net","DE-M158-WUP04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"NIB04TRMMM1-1.mmsrg.net","DE-M179-NIB04TRMMM1-1","True","8","20","False","Exists","Exists","Ready","Ready","5"
"KOL04TRMMM1-1.mmsrg.net","DE-M098-KOL04TRMMM1-1","True","2","19","False","Exists","Exists","Ready","Ready","5"
"AMB04TRMMM1-1.mmsrg.net","DE-M260-AMB04TRMMM1-1","True","2","13","False","Exists","Exists","Ready","Ready","5"
"MAH04TRMMM1-1.mmsrg.net","DE-M044-MAH04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"LEI04TRMSE2-1.mmsrg.net","DE-S014-LEI04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"LEV04TRMSE1-1.mmsrg.net","DE-S208-LEV04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"RHN04TRMMM1-1.mmsrg.net","DE-M151-RHN04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BBD04TRMMM1-1.mmsrg.net","DE-M215-BBD04TRMMM1-1","True","3","20","False","Exists","Exists","Ready","Ready","5"
"MAH04TRMSE1-1.mmsrg.net","DE-S056-MAH04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"WZB04TRMMM3-1.mmsrg.net","DE-M124-WZB04TRMMM3-1","True","11","20","False","Exists","Exists","Ready","Ready","5"
"HNA04TRMSE1-1.mmsrg.net","DE-S073-HNA04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"MAG04TRMSE1-1.mmsrg.net","DE-S020-MAG04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"PFH04TRMMM1-1.mmsrg.net","DE-M061-PFH04TRMMM1-1","True","3","20","False","Exists","Exists","Ready","Ready","5"
"LNN04TRMSE1-1.mmsrg.net","DE-S047-LNN04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"HEF04TRMSE1-1.mmsrg.net","DE-S032-HEF04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"BRM04TRMSE1-1.mmsrg.net","DE-S005-BRM04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"FHM04TRMMM1-1.mmsrg.net","DE-M315-FHM04TRMMM1-1","True","10","20","False","Exists","Exists","Ready","Ready","5"
"SWN04TRMMM1-1.mmsrg.net","DE-M110-SWN04TRMMM1-1","True","1","20","False","Missing","Missing",,,"5"
"KPT04TRMSE1-1.mmsrg.net","DE-S076-KPT04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"NBB04TRMMM1-1.mmsrg.net","DE-M109-NBB04TRMMM1-1","True","1","20","False","Missing","Missing",,,"5"
"FRE04TRMMM1-1.mmsrg.net","DE-M062-FRE04TRMMM1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"STA04TRMSE1-1.mmsrg.net","DE-S202-STA04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"DUS04TRMSE1-1.mmsrg.net","DE-S214-DUS04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"LIF04TRMMM1-1.mmsrg.net","DE-M249-LIF04TRMMM1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"NUE04TRMMM1-1.mmsrg.net","DE-M074-NUE04TRMMM1-1","True","4","20","False","Exists","Exists","Ready","Ready","5"
"NOH04TRMMM1-1.mmsrg.net","DE-M265-NOH04TRMMM1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"WIE04TRMSE2-1.mmsrg.net","DE-S328-WIE04TRMSE2-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"MRW04TRMMM1-1.mmsrg.net","DE-M181-MRW04TRMMM1-1","True","10","20","False","Exists","Exists","Ready","Ready","5"
"HUE04TRMSE1-1.mmsrg.net","DE-S216-HUE04TRMSE1-1","False","5","16","False","Exists","Exists","Ready","Ready","5"
"WOL04TRMSE1-1.mmsrg.net","DE-S054-WOL04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"MST04TRMSE2-1.mmsrg.net","DE-S099-MST04TRMSE2-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"BOC04TRMSE1-1.mmsrg.net","DE-S309-BOC04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"BAU04TRMSE1-1.mmsrg.net","DE-S330-BAU04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"ISH04TRMSE2-1.mmsrg.net","DE-S043-ISH04TRMSE2-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"LUD04TRMMM1-1.mmsrg.net","DE-M078-LUD04TRMMM1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"DEG04TRMMM1-1.mmsrg.net","DE-M204-DEG04TRMMM1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"FRE04TRMSE1-1.mmsrg.net","DE-S041-FRE04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"HDB04TRMMM1-1.mmsrg.net","DE-M043-HDB04TRMMM1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"WES04TRMSE1-1.mmsrg.net","DE-S321-WES04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"AUG04TRMSE1-1.mmsrg.net","DE-S048-AUG04TRMSE1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"PIR04TRMMM1-1.mmsrg.net","DE-M036-PIR04TRMMM1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"ERF04TRMMM2-1.mmsrg.net","DE-M205-ERF04TRMMM2-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"BRA04TRMMM1-1.mmsrg.net","DE-M013-BRA04TRMMM1-1","True","5","16","False","Exists","Exists","Ready","Ready","5"
"ERL04TRMMM1-1.mmsrg.net","DE-M075-ERL04TRMMM1-1","False","10","20","False","Exists","Exists","Ready","Ready","5"
